Condition;Area;Feret;AR
Data1;102;12.36932;1.04606
Data1;73;10.81665;1.0749799999999998
Data1;29;7.2801100000000005;1.17121
Data1;40;8.06226;1.0391299999999999
Data1;163;15.652479999999999;1.04999
Data1;56;10.0;1.2115
Data1;139;14.76482;1.03126
Data1;47;8.60233;1.04209
Data1;50;9.48683;1.1282299999999998
Data1;264;28.160259999999997;2.2888900000000003
Data1;21;6.4031199999999995;1.18202
Data1;671;34.9285;1.18203
Data1;38;8.06226;1.0826200000000001
Data1;44;8.60233;1.12257
Data1;1447;54.33231;1.52405
Data1;559;57.38466999999999;2.8334599999999996
Data1;30;7.6157699999999995;1.18432
Data1;29;7.81025;1.2155200000000002
Data1;113;14.86607;1.39626
Data1;59;10.0;1.1045399999999999
Data1;36;7.81025;1.10541
Data1;30;7.81025;1.1403
Data1;59;10.0;1.1045399999999999
Data1;115;15.29706;1.56227
Data1;32;7.2801100000000005;1.0671
Data1;31;7.81025;1.15599
Data1;31;7.81025;1.0836299999999999
Data1;51;9.21954;1.01708
Data1;43;8.60233;1.11142
Data1;598;43.56604;2.52393
Data1;79;11.40175;1.09422
Data1;34;7.81025;1.10402
Data1;56;9.84886;1.14549
Data1;137;20.0;2.03375
Data1;43;8.60233;1.15896
Data1;125;14.212670000000001;1.08965
Data1;45;8.94427;1.11904
Data1;49;9.21954;1.11921
Data1;84;12.08305;1.12032
Data1;909;37.21559;1.12076
Data1;28;7.2111;1.05529
Data1;2728;82.03658;1.64402
Data1;247;22.80351;1.4917200000000002
Data1;71;10.81665;1.08588
Data1;631;38.32754;1.1893200000000002
Data1;28;7.2111;1.0926
Data1;86;11.7047;1.0734700000000001
Data1;204;18.86796;1.2307
Data1;22;6.4031199999999995;1.10141
Data1;929;41.04875;1.29988
Data1;58;10.0;1.0743
Data1;59;10.198039999999999;1.19941
Data1;51;9.21954;1.01981
Data1;33;7.81025;1.0957299999999999
Data1;38;8.06226;1.0554
Data1;35;7.81025;1.1295
Data1;148;19.41649;2.09065
Data1;43;8.94427;1.21506
Data1;36;8.246210000000001;1.13253
Data1;89;12.206560000000001;1.1199
